Benchmark,Method,h,Partitions,Error_2_norm
Jet Engine,ASM,1.0,8,1.3333333333333333
Jet Engine,ASM,0.5,32,0.3333333333333333
Jet Engine,ASM,0.25,128,0.08333333333333333
exponential,ASM,1.0,8,13.774934696016643
exponential,ASM,0.5,32,3.443733674004161
exponential,ASM,0.25,128,0.8609334185010402
Steam,ASM,1.0,24,3.5782285968983145
Steam,ASM,0.5,192,0.8945571492245786
Jet Engine,ASM,0.125,512,0.020833333333333332
Jet Engine,ASM,0.0625,2048,0.005208333333333333
Jet Engine,ASM,0.2,200,0.053333333333333344
Jet Engine,ASM,0.1,800,0.013333333333333336
